Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q129000,0.03,256.17,0.00,13.08,56.94,0.74,1.00,3.88,296.27,1.24,0.00,97763.00
q130000,0.03,258.04,0.00,11.33,56.23,0.64,1.00,3.94,347.67,1.25,0.00,98499.00
q131000,0.05,264.29,0.00,10.90,56.64,0.62,1.00,4.00,366.73,1.26,0.00,99275.00
q132000,0.03,268.15,0.00,11.13,56.47,0.63,1.00,4.06,364.72,1.27,0.00,100048.00
q133000,0.03,273.54,0.00,11.31,56.41,0.64,1.00,4.12,364.38,1.28,0.00,100815.00
q134000,0.03,278.69,0.00,11.37,56.12,0.64,1.00,4.18,367.85,1.29,0.00,101570.00
q135000,0.03,279.20,0.00,11.61,55.80,0.65,1.00,4.25,365.87,1.30,0.00,102326.00
q136000,0.02,279.96,0.00,11.81,55.71,0.66,1.00,4.31,364.68,1.30,0.00,103108.00
q137000,0.03,284.18,0.00,12.04,54.48,0.66,1.00,4.37,363.21,1.31,0.00,103894.00
q138000,0.03,294.10,0.00,12.17,54.12,0.66,1.00,4.44,364.67,1.32,0.00,104663.00
q139000,0.05,298.33,0.00,12.21,53.89,0.66,1.00,4.50,368.44,1.33,0.00,105453.00
q140000,0.03,303.65,0.00,12.34,54.47,0.67,1.00,4.57,369.85,1.34,0.00,106209.00
q141000,0.03,308.89,0.00,12.61,55.05,0.69,1.00,4.63,367.48,1.35,0.00,106937.00
q142000,0.02,316.32,0.00,12.92,53.96,0.70,1.00,4.70,363.57,1.36,0.00,107687.00
q143000,0.05,317.18,0.00,13.06,54.88,0.72,1.00,4.76,364.81,1.37,0.00,108459.00
q144000,0.03,321.66,0.00,13.28,55.16,0.73,1.00,4.83,363.65,1.38,0.00,109210.00
