Circuit,Initial time,Schedule time,Transfer time,Simulation time,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q196000_d100,398.96,219.53,0,5675.65,1,9159.11,161375.69,177.57,134742.21,13474221
q197000_d100,396.28,218.35,0,5817.1,1,9252.81,159062.34,178.48,135439.91,13543991
q198000_d100,402.4,222.36,0,5829.4,1,9346.99,160342.1,179.38,136110.81,13611081
q199000_d100,404.62,222.48,0,5930.99,1,9441.64,159191.51,180.28,136794.38,13679438
q200000_d100,410.74,223.61,0,5934.58,1,9536.77,160698.38,181.2,137497.73,13749773
q201000_d100,417.52,229.98,0,6026.45,1,9632.37,159835.04,182.11,138198.43,13819843
q202000_d100,418.08,230.2,0,6057.69,1,9728.46,160596.78,183.02,138888.95,13888895
q203000_d100,419.78,230.72,0,6177.96,1,9825.01,159033.32,183.92,139571.94,13957194
q204000_d100,421.85,232.08,0,6134.16,1,9922.05,161750.74,184.82,140250.15,14025015
q205000_d100,421.47,232.59,0,6317.3,1,10019.57,158605.1,185.71,140919.29,14091929
q206000_d100,430.44,237.83,0,6358.07,1,10117.56,159129.44,186.63,141616.85,14161685
q207000_d100,428,237.14,0,6466.4,1,10216.02,157986.3,187.54,142309.1,14230910
q208000_d100,432.28,236.54,0,6506.13,1,10314.97,158542.37,188.44,142990.56,14299056
q209000_d100,429.51,234.71,0,6587.7,1,10414.39,158088.42,189.37,143706.63,14370663
q210000_d100,429.88,236.88,0,6591.65,1,10514.28,159509.06,190.26,144376.32,14437632
q211000_d100,421.75,234.84,0,6724.67,1,10614.66,157846.44,191.15,145049.54,14504954
q212000_d100,437.21,239.53,0,6690.58,1,10715.51,160158.25,192.07,145753.38,14575338
q213000_d100,430.67,238.28,0,6885.71,1,10816.84,157091.15,192.98,146439.96,14643996
q214000_d100,439.21,245.29,0,6842.06,1,10918.64,159581.16,193.88,147119.95,14711995
q215000_d100,432.23,239.33,0,6952.31,1,11020.92,158521.77,194.78,147802.5,14780250
q216000_d100,440.02,245.14,0,6952.59,1,11123.68,159993.31,195.69,148497.73,14849773
q217000_d100,433.86,242.01,0,7060.77,1,11226.92,159004.25,196.6,149194.28,14919428
q218000_d100,442.1,245.89,0,7076.86,1,11330.63,160108.18,197.5,149863.66,14986366
q219000_d100,444.74,244.96,0,7228.3,1,11434.82,158195.12,198.41,150566.77,15056677
q220000_d100,443.17,247.19,0,7189.62,1,11539.49,160501.96,199.31,151238.65,15123865
q221000_d100,447.99,247.56,0,7392,1,11644.63,157530.18,200.22,151928.24,15192824
q222000_d100,449.28,248.28,0,7372.71,1,11750.25,159374.87,201.13,152625.45,15262545
q223000_d100,446.04,248.67,0,7491.82,1,11856.34,158257.14,202.03,153311.82,15331182
q224000_d100,448.12,250.74,0,6901.27,1,11962.92,173343.64,202.93,153985.2,15398520
q225000_d100,452.74,251.44,0,7663.09,1,12069.97,157507.79,203.85,154684.8,15468480
q226000_d100,477.44,257.59,0,7770.85,1,12177.49,156707.39,204.76,155377.52,15537752
q227000_d100,459.3,253.57,0,8001.93,1,12285.5,153531.63,205.66,156064.64,15606464
q228000_d100,459.15,255.22,0,7945.18,1,12393.98,155993.75,206.55,156733.81,15673381
q229000_d100,456.84,254.78,0,8151.79,1,12502.94,153376.55,207.48,157446.56,15744656
q230000_d100,462.97,258.16,0,8135.31,1,12612.37,155032.45,208.39,158137.37,15813737
q231000_d100,463.11,259.24,0,8225.97,1,12722.28,154660.02,209.28,158814.59,15881459
q232000_d100,466.02,259.71,0,8171.75,1,12832.67,157037.01,210.18,159484.89,15948489
q233000_d100,464.97,260.13,0,8214.62,1,12943.53,157567.05,211.08,160171.75,16017175
q234000_d100,481.86,266.04,0,8259.01,1,13054.88,158068.37,212,160873.29,16087329
q235000_d100,465.86,262.75,0,8484.76,1,13166.69,155180.48,212.91,161564.31,16156431
q236000_d100,476.58,265.25,0,8461.95,1,13278.99,156925.84,213.8,162237.12,16223712
q237000_d100,476.07,266.63,0,8671.06,1,13391.76,154442,214.73,162948.44,16294844
q238000_d100,487.37,272.28,0,8673.43,1,13505.01,155705.59,215.63,163626.72,16362672
q239000_d100,486.2,272.36,0,8781.36,1,13618.74,155086.8,216.52,164294.57,16429457
q240000_d100,487.52,272.18,0,8770.9,1,13732.94,156573.83,217.43,164995.4,16499540
q241000_d100,478.28,268.07,0,8854.72,1,13847.62,156386.79,218.34,165678.82,16567882
q242000_d100,478.03,268.94,0,8865.83,1,13962.77,157489.79,219.24,166360.68,16636068
q243000_d100,487.2,272.66,0,9099.91,1,14078.41,154709.4,220.16,167062.06,16706206
q244000_d100,489.05,272.7,0,9017.49,1,14194.52,157411,221.06,167754.16,16775416
q245000_d100,485.06,272.77,0,9266.3,1,14311.1,154442.43,221.97,168441.99,16844199
q246000_d100,491.41,275.65,0,9218.4,1,14428.17,156514.89,222.86,169108.23,16910823
q247000_d100,493.41,276.74,0,9298.29,1,14545.71,156434.34,223.78,169812.67,16981267
q248000_d100,496.9,279.22,0,9309.13,1,14663.73,157519.89,224.69,170509.98,17050998
q249000_d100,494.09,277.6,0,9443.4,1,14782.22,156534.88,225.6,171194.5,17119450
q250000_d100,499.57,279.58,0,9493.14,1,14901.19,156967.91,226.49,171867.37,17186737
q251000_d100,496.67,279.45,0,9694.12,1,15020.64,154945.81,227.41,172566.08,17256608
q252000_d100,503.79,282.85,0,9612.57,1,15140.56,157508.04,228.31,173250.23,17325023
q253000_d100,506.06,285.6,0,9817.68,1,15260.97,155443.74,229.21,173933.11,17393311
q254000_d100,502.06,281.86,0,9788.51,1,15381.84,157141.86,230.11,174607.78,17460778
q255000_d100,504.21,283.58,0,9941.74,1,15503.2,155940.47,231.01,175284.5,17528450
q256000_d100,511.28,287.3,0,8500.41,1,15625.03,183814.94,231.94,176001.39,17600139
q257000_d100,519.14,291.57,0,10058.13,1,15747.34,156563.37,232.84,176685.86,17668586
q258000_d100,516.75,288.37,0,10069.88,1,15870.12,157600.01,233.72,177347.03,17734703
q259000_d100,523.5,294.09,0,10248.82,1,15993.39,156051.02,234.65,178060.33,17806033
q260000_d100,509.64,289.9,0,10185.5,1,16117.13,158235.95,235.57,178765.38,17876538
q261000_d100,522.01,295.59,0,10407.21,1,16241.34,156058.52,236.47,179447.22,17944722
q262000_d100,521.72,295.19,0,10384.15,1,16366.04,157605.92,237.38,180139.16,18013916
q263000_d100,525.71,297.91,0,10531.44,1,16491.21,156590.18,238.28,180818.01,18081801
q264000_d100,531.59,299.99,0,10513.84,1,16616.85,158047.43,239.17,181489.66,18148966
q265000_d100,533.09,300.71,0,10674.47,1,16742.98,156850.64,240.09,182190.47,18219047
q266000_d100,521.92,298.06,0,10713.95,1,16869.58,157454.38,241,182879.36,18287936
q267000_d100,528.51,298.81,0,10902.11,1,16996.65,155902.44,241.89,183552.08,18355208
q268000_d100,537.32,303.83,0,10806.52,1,17124.21,158461.82,242.81,184251.72,18425172
q269000_d100,525.82,300.03,0,11078.74,1,17252.24,155723.83,243.71,184933.87,18493387
q270000_d100,529.14,302.45,0,11034.71,1,17380.75,157509.79,244.63,185641.83,18564183
q271000_d100,529.68,301.56,0,11209.98,1,17509.73,156197.65,245.52,186305.14,18630514
q272000_d100,540.63,304.8,0,11215.92,1,17639.19,157269.25,246.43,186997.67,18699767
q273000_d100,531.18,303.98,0,11344.77,1,17769.13,156628.34,247.33,187683.6,18768360
q274000_d100,543.45,308.28,0,11336.04,1,17899.55,157899.49,248.25,188385.85,18838585
q275000_d100,536.13,306.81,0,11560.35,1,18030.44,155967.87,249.14,189049.99,18904999
q276000_d100,543.51,310.15,0,11511.73,1,18161.81,157767.85,250.05,189746.1,18974610
q277000_d100,536.62,320.46,0,11785.02,1,18293.65,155227.98,250.96,190432.38,19043238
q278000_d100,554.46,315.58,0,11727.55,1,18425.97,157117.01,251.85,191102.25,19110225
q279000_d100,549.19,312.97,0,11863.57,1,18558.77,156435.05,252.77,191816,19181600
q280000_d100,550.7,321.04,0,11894.11,1,18692.05,157153.8,253.67,192493.55,19249355
q281000_d100,550.22,313.63,0,12097.94,1,18825.8,155611.7,254.58,193178.16,19317816
q282000_d100,555.05,316.59,0,12213.86,1,18960.03,155233.81,255.49,193880.6,19388060
q283000_d100,555.85,317.39,0,12541.31,1,19094.74,152254.71,256.38,194541.84,19454184
q284000_d100,554.98,319.82,0,12432.59,1,19229.92,154673.46,257.3,195243.32,19524332
q285000_d100,556.57,319.11,0,12732.72,1,19365.58,152093.07,258.22,195949.06,19594906
q286000_d100,557.11,319.21,0,12670.63,1,19501.72,153912.84,259.12,196632.51,19663251
q287000_d100,562.25,323.87,0,12883.24,1,19638.33,152433.22,260.02,197309.21,19730921
q288000_d100,561.55,323.06,0,11698.78,1,19775.42,169038.34,260.93,198004.55,19800455
q289000_d100,566.74,325.97,0,12923.34,1,19912.99,154085.51,261.83,198687.62,19868762
q290000_d100,559.36,322.9,0,12845.22,1,20051.04,156097.24,262.75,199387.34,19938734
q291000_d100,564.18,325.07,0,13143.42,1,20189.56,153609.6,263.64,200064.69,20006469
q292000_d100,565.84,325.53,0,13097.37,1,20328.56,155210.99,264.54,200733.33,20073333
q293000_d100,576,329.46,0,13468.32,1,20468.03,151971.68,265.44,201421.64,20142164
q294000_d100,579.27,329.77,0,13377.19,1,20607.98,154053.18,266.36,202128.17,20212817
q295000_d100,576.6,330.53,0,13490.73,1,20748.41,153797.58,267.25,202785.75,20278575
q296000_d100,578.83,332.35,0,13413.87,1,20889.32,155729.2,268.16,203479.29,20347929
q297000_d100,584.69,336.36,0,13602.4,1,21030.7,154610.2,269.07,204176.38,20417638
q298000_d100,580.05,334.48,0,13611.76,1,21172.56,155546.07,269.98,204869.84,20486984
q299000_d100,581.64,334.39,0,13855.49,1,21314.9,153837.21,270.89,205561.94,20556194
q300000_d100,577.72,335.09,0,13735.14,1,21457.71,156224.91,271.79,206243.43,20624343
q301000_d100,591.56,337.63,0,14046.98,1,21601,153776.87,272.69,206926.08,20692608
q302000_d100,582.97,337.65,0,13964.14,1,21744.76,155718.57,273.6,207614.84,20761484
q303000_d100,584.33,339.3,0,14149.33,1,21889.01,154699.94,274.51,208309.49,20830949
q304000_d100,594.65,341.62,0,14147.41,1,22033.73,155743.92,275.44,209022.74,20902274
q305000_d100,593.83,342.09,0,14382.06,1,22178.92,154212.46,276.34,209700.25,20970025
q306000_d100,587.48,342.38,0,14317.62,1,22324.6,155923.94,277.23,210369.9,21036990
