Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q129000,0.02,290.14,0.00,12.90,54.62,0.70,1.00,3.88,300.39,1.22,0.00,95037.00
q130000,0.05,301.91,0.00,11.13,53.74,0.60,1.00,3.94,353.94,1.23,0.00,95765.00
q131000,0.03,304.20,0.00,10.69,53.89,0.58,1.00,4.00,373.84,1.24,0.00,96490.00
q132000,0.03,309.30,0.00,10.94,53.86,0.59,1.00,4.06,370.92,1.25,0.00,97233.00
q133000,0.03,312.32,0.00,11.12,53.60,0.60,1.00,4.12,370.57,1.25,0.00,98002.00
q134000,0.03,315.43,0.00,11.17,53.80,0.60,1.00,4.18,374.39,1.26,0.00,98734.00
q135000,0.02,321.85,0.00,11.37,53.96,0.61,1.00,4.25,373.59,1.27,0.00,99483.00
q136000,0.03,331.32,0.00,11.60,53.97,0.63,1.00,4.31,371.29,1.28,0.00,100213.00
q137000,0.02,336.41,0.00,11.82,53.93,0.64,1.00,4.37,370.00,1.29,0.00,100955.00
q138000,0.05,336.31,0.00,11.93,54.47,0.65,1.00,4.44,371.81,1.30,0.00,101698.00
q139000,0.02,340.71,0.00,11.97,54.11,0.65,1.00,4.50,375.90,1.31,0.00,102465.00
q140000,0.02,345.02,0.00,12.13,53.67,0.65,1.00,4.57,376.50,1.32,0.00,103234.00
q141000,0.03,351.84,0.00,12.39,54.12,0.67,1.00,4.63,373.88,1.33,0.00,103941.00
q142000,0.03,357.48,0.00,12.71,54.22,0.69,1.00,4.70,369.45,1.34,0.00,104659.00
q143000,0.02,366.28,0.00,12.87,54.13,0.70,1.00,4.76,370.25,1.35,0.00,105420.00
q144000,0.02,371.80,0.00,12.99,54.81,0.71,1.00,4.83,371.58,1.36,0.00,106153.00
q145000,0.02,377.83,0.00,13.18,54.10,0.71,1.00,4.90,371.40,1.37,0.00,106909.00
q146000,0.02,378.26,0.00,13.38,54.43,0.73,1.00,4.97,371.09,1.38,0.00,107663.00
q147000,0.03,384.56,0.00,13.65,53.85,0.73,1.00,5.03,368.59,1.39,0.00,108391.00
q148000,0.03,397.17,0.00,13.86,54.70,0.76,1.00,5.10,368.16,1.40,0.00,109177.00
q149000,0.03,405.16,0.00,14.03,53.96,0.76,1.00,5.17,368.72,1.41,0.00,109895.00
q150000,0.03,411.10,0.00,13.75,54.32,0.75,1.00,5.24,381.12,1.42,0.00,110631.00
q151000,0.03,415.88,0.00,13.98,54.38,0.76,1.00,5.31,379.88,1.43,0.00,111373.00
q152000,0.03,421.02,0.00,14.56,54.40,0.79,1.00,5.38,369.57,1.44,0.00,112121.00
q153000,0.03,428.60,0.00,14.69,54.29,0.80,1.00,5.45,371.14,1.45,0.00,112846.00
q154000,0.03,434.55,0.00,14.94,54.24,0.81,1.00,5.53,369.93,1.45,0.00,113574.00
q155000,0.02,434.79,0.00,14.95,54.51,0.82,1.00,5.59,374.09,1.46,0.00,114317.00
q156000,0.03,440.79,0.00,15.27,54.50,0.83,1.00,5.67,371.13,1.47,0.00,115027.00
q157000,0.03,442.03,0.00,15.47,54.93,0.85,1.00,5.74,371.17,1.48,0.00,115758.00
q158000,0.05,447.16,0.00,15.75,54.89,0.86,1.00,5.81,369.07,1.49,0.00,116525.00
q159000,0.05,453.39,0.00,15.96,54.52,0.87,1.00,5.89,369.01,1.50,0.00,117253.00
q160000,0.03,474.12,0.00,16.04,54.78,0.88,1.00,5.96,371.57,1.51,0.00,118012.00
q161000,0.03,479.67,0.00,16.17,54.79,0.89,1.00,6.04,373.39,1.52,0.00,118731.00
q162000,0.03,484.43,0.00,16.38,54.61,0.89,1.00,6.11,373.33,1.53,0.00,119469.00
q163000,0.03,481.69,0.00,16.66,54.79,0.91,1.00,6.19,371.29,1.54,0.00,120229.00
q164000,0.02,502.44,0.00,16.95,54.62,0.93,1.00,6.26,369.52,1.55,0.00,120966.00
q165000,0.02,499.67,0.00,17.04,54.98,0.94,1.00,6.34,372.33,1.56,0.00,121685.00
q166000,0.02,509.20,0.00,17.02,54.84,0.93,1.00,6.42,376.92,1.57,0.00,122417.00
q167000,0.03,521.18,0.00,17.24,55.21,0.95,1.00,6.50,376.83,1.58,0.00,123172.00
q168000,0.05,519.49,0.00,17.47,55.04,0.96,1.00,6.57,376.19,1.59,0.00,123937.00
q169000,0.03,523.26,0.00,17.62,54.87,0.97,1.00,6.65,377.44,1.60,0.00,124680.00
q170000,0.06,534.60,0.00,17.85,54.96,0.98,1.00,6.73,377.21,1.60,0.00,125412.00
q171000,0.02,542.97,0.00,19.04,54.62,1.04,1.00,6.81,357.57,1.61,0.00,126143.00
q172000,0.03,550.03,0.00,21.11,53.79,1.14,1.00,6.89,326.43,1.62,0.00,126864.00
q173000,0.03,558.57,0.00,19.51,54.54,1.06,1.00,6.97,357.32,1.63,0.00,127577.00
q174000,0.02,565.17,0.00,18.62,53.67,1.00,1.00,7.05,378.60,1.64,0.00,128313.00
q175000,0.03,566.65,0.00,18.80,54.07,1.02,1.00,7.13,379.52,1.65,0.00,129033.00
q176000,0.02,572.58,0.00,18.92,53.37,1.01,1.00,7.21,381.20,1.66,0.00,129792.00
q177000,0.03,578.22,0.00,19.14,52.99,1.01,1.00,7.30,381.28,1.67,0.00,130568.00
q178000,0.02,585.03,0.00,19.25,53.59,1.03,1.00,7.38,383.43,1.68,0.00,131316.00
q179000,0.03,591.27,0.00,19.60,53.12,1.04,1.00,7.46,380.63,1.69,0.00,132065.00
q180000,0.03,604.90,0.00,19.81,53.53,1.06,1.00,7.55,380.89,1.70,0.00,132828.00
q181000,0.03,611.08,0.00,20.09,52.83,1.06,1.00,7.63,379.82,1.71,0.00,133556.00
